Maturity,Strike,Market_Price,Model_Ana,Model_MC,Diff_Ana,Diff_MC
0.0521,160.0,28.725,28.453,28.474,-0.272,-0.251
0.0521,165.0,24.049999999999997,23.795,23.823,-0.255,-0.227
0.0521,170.0,19.65,19.337,19.374,-0.313,-0.276
0.0521,180.0,11.725,11.396,11.449,-0.329,-0.276
0.0521,185.0,8.45,8.129,8.187,-0.321,-0.263
0.0521,195.0,3.6500000000000004,3.432,3.484,-0.218,-0.166
0.0521,200.0,2.165,2.018,2.06,-0.147,-0.105
0.0521,210.0,0.65,0.585,0.605,-0.065,-0.045
0.0712,160.0,29.05,29.151,29.167,0.101,0.117
0.0712,165.0,24.575,24.703,24.723,0.128,0.148
0.0712,170.0,20.25,20.481,20.506,0.231,0.256
0.0712,175.0,16.225,16.552,16.581,0.327,0.356
0.0712,185.0,9.399999999999999,9.851,9.886,0.451,0.486
0.0712,190.0,6.7,7.198,7.235,0.498,0.535
0.0712,195.0,4.574999999999999,5.055,5.09,0.48,0.515
0.0712,210.0,1.08,1.393,1.41,0.313,0.33
0.0904,160.0,30.049999999999997,30.011,30.002,-0.039,-0.048
0.0904,170.0,21.775,21.726,21.714,-0.049,-0.061
0.0904,175.0,18.1,17.982,17.97,-0.118,-0.13
0.0904,185.0,11.75,11.529,11.517,-0.221,-0.233
0.0904,190.0,9.149999999999999,8.896,8.885,-0.254,-0.265
0.0904,200.0,5.15,4.895,4.885,-0.255,-0.265
0.0904,205.0,3.725,3.494,3.484,-0.231,-0.241
0.0904,215.0,1.8250000000000002,1.668,1.657,-0.157,-0.168
