T,K,Mkt,Ana,Err_A,MC,Err_MC,IV_Mkt,IV_MC
0.10403832991101986,135.0,52.725,52.5,-0.23,52.58,-0.14,0.5947001249006899,0.5613141213325297
0.10403832991101986,150.0,38.35,38.32,-0.03,38.55,0.2,0.508165963014256,0.5306948157939566
0.10403832991101986,170.0,21.525,21.46,-0.07,21.55,0.02,0.4675658433549851,0.4686596626894902
0.10403832991101986,180.0,14.649999999999999,14.6,-0.05,14.66,0.01,0.4484714845456748,0.4487364644253609
0.10403832991101986,185.0,11.8,11.71,-0.09,11.83,0.03,0.44257222703859467,0.44368136636139727
0.10403832991101986,195.0,7.15,7.11,-0.04,7.16,0.01,0.4287005964628434,0.42920452894409516
0.10403832991101986,205.0,3.975,4.03,0.05,4.06,0.08,0.4175475318852588,0.42153997409870847
0.4681724845995893,135.0,58.6,58.54,-0.06,58.38,-0.22,0.5282879507738849,0.5202625046478698
0.4681724845995893,150.0,46.7,46.9,0.2,47.0,0.3,0.4942690465988673,0.5028327450785954
0.4681724845995893,170.0,33.25,33.31,0.06,33.21,-0.04,0.46932498200866185,0.4684749071620993
0.4681724845995893,180.0,27.4,27.51,0.11,27.49,0.09,0.456582207362411,0.45836600615284606
0.4681724845995893,185.0,24.825,24.88,0.05,25.33,0.5,0.45258557816979395,0.4628012991693592
0.4681724845995893,220.0,11.675,11.59,-0.09,11.62,-0.05,0.43501445983582043,0.4339342605155725
0.4681724845995893,240.0,7.35,7.39,0.04,7.6,0.25,0.43129303130203367,0.437441265051172
1.3853524982888432,170.0,52.525,52.46,-0.06,52.84,0.31,0.5027134506857727,0.5068636860732834
1.3853524982888432,180.0,47.7,47.7,-0.0,47.92,0.22,0.49562323511900663,0.49845654648159177
1.3853524982888432,185.0,45.475,45.46,-0.02,45.88,0.4,0.4929763450611725,0.4980108248619131
1.3853524982888432,195.0,41.225,41.25,0.03,41.03,-0.19,0.4872913016924654,0.4849869949162796
1.3853524982888432,210.0,35.625,35.61,-0.01,35.92,0.3,0.48137464752889353,0.48487419202657245
1.3853524982888432,220.0,32.275000000000006,32.28,0.0,32.67,0.4,0.4777755070158479,0.4824262847111049
1.3853524982888432,240.0,26.549999999999997,26.53,-0.02,27.12,0.57,0.4728920299012492,0.4795966490479313
