Type,T,K,Mkt,Ana,Err_A,IV_Mkt,r_used
PUT,0.5530458590006845,145.0,7.03,7.02,-0.01,0.49747985076221785,0.0362
PUT,0.5530458590006845,150.0,7.95,8.2,0.25,0.48564349190007,0.0362
PUT,0.5530458590006845,155.0,9.5,9.51,0.01,0.487416885644064,0.0362
PUT,0.5530458590006845,160.0,10.55,10.96,0.41,0.47371905716002916,0.0362
PUT,0.5530458590006845,165.0,12.6,12.55,-0.05,0.48009020132723185,0.0362
CALL,0.5530458590006845,195.0,26.0,26.54,0.54,0.44695374841650276,0.0362
CALL,0.5530458590006845,200.0,23.66,24.27,0.61,0.4426251113646795,0.0362
CALL,0.5530458590006845,210.0,19.8,20.18,0.38,0.4409717719994077,0.0362
CALL,0.5530458590006845,220.0,16.05,16.65,0.6,0.43180860799180626,0.0362
CALL,0.5530458590006845,230.0,13.85,13.64,-0.21,0.4418168639732323,0.0362
CALL,0.5530458590006845,240.0,11.25,11.11,-0.14,0.43680173199652456,0.0362
PUT,0.6297056810403833,145.0,8.1,8.09,-0.01,0.4975705055341949,0.036
PUT,0.6297056810403833,150.0,9.19,9.34,0.15,0.488788981544951,0.036
PUT,0.6297056810403833,155.0,10.9,10.72,-0.18,0.4919975442403745,0.036
PUT,0.6297056810403833,160.0,12.6,12.24,-0.36,0.49143265023113036,0.036
PUT,0.6297056810403833,165.0,14.3,13.88,-0.42,0.48794034390099394,0.036
CALL,0.6297056810403833,195.0,28.2,28.54,0.34,0.4519474378268494,0.036
CALL,0.6297056810403833,200.0,26.54,26.28,-0.26,0.4589071888453392,0.036
CALL,0.6297056810403833,210.0,22.51,22.17,-0.34,0.4545423350608609,0.036
CALL,0.6297056810403833,220.0,19.0,18.59,-0.41,0.45080163803020623,0.036
CALL,0.6297056810403833,230.0,15.2,15.5,0.3,0.43451625320445775,0.036
CALL,0.6297056810403833,240.0,12.94,12.86,-0.08,0.4372210033178806,0.036
PUT,0.8021902806297057,145.0,10.46,10.33,-0.13,0.50012375382698,0.0356
PUT,0.8021902806297057,150.0,11.8,11.72,-0.08,0.49442528953011317,0.0356
PUT,0.8021902806297057,155.0,14.2,13.24,-0.96,0.5075302849328432,0.0356
PUT,0.8021902806297057,160.0,15.1,14.87,-0.23,0.48894190087105305,0.0356
PUT,0.8021902806297057,165.0,16.94,16.62,-0.32,0.486414145457752,0.0356
CALL,0.8021902806297057,195.0,30.14,32.71,2.57,0.4220049928844104,0.0356
CALL,0.8021902806297057,200.0,30.45,30.48,0.03,0.45727287718567267,0.0356
CALL,0.8021902806297057,210.0,25.8,26.36,0.56,0.44425438142633905,0.0356
CALL,0.8021902806297057,220.0,22.25,22.7,0.45,0.44107378801844394,0.0356
CALL,0.8021902806297057,230.0,19.42,19.48,0.06,0.44256387635093053,0.0356
CALL,0.8021902806297057,240.0,16.76,16.66,-0.1,0.44122651938590385,0.0356
PUT,0.8788501026694046,145.0,11.13,11.27,0.14,0.4944282448395471,0.0355
PUT,0.8788501026694046,175.0,21.6,21.68,0.08,0.47295854665276543,0.0355
PUT,0.8788501026694046,176.0,23.08,22.1,-0.98,0.4889175420899345,0.0355
PUT,0.8788501026694046,177.0,23.75,22.52,-1.23,0.49197473472310044,0.0355
PUT,0.8788501026694046,178.0,24.3,22.95,-1.35,0.49306295244704684,0.0355
CALL,0.8788501026694046,193.0,32.71,35.36,2.65,0.42454900520042155,0.0355
CALL,0.8788501026694046,224.0,22.65,23.07,0.42,0.44159765514377125,0.0355
CALL,0.8788501026694046,225.0,22.8,22.75,-0.05,0.44784559593643586,0.0355
CALL,0.8788501026694046,226.0,22.65,22.42,-0.23,0.44986526358791673,0.0355
CALL,0.8788501026694046,227.0,21.7,22.1,0.4,0.4406572431736585,0.0355
CALL,0.8788501026694046,228.0,21.4,21.79,0.39,0.44047472614534366,0.0355
CALL,0.8788501026694046,230.0,21.16,21.17,0.01,0.4450143084887169,0.0355
PUT,0.9555099247091033,145.0,12.0,12.17,0.17,0.4940059295086139,0.0353
PUT,0.9555099247091033,150.0,13.57,13.66,0.09,0.49152102579146106,0.0353
PUT,0.9555099247091033,155.0,15.37,15.27,-0.1,0.49115826712621924,0.0353
PUT,0.9555099247091033,160.0,16.8,16.98,0.18,0.4824296503592648,0.0353
PUT,0.9555099247091033,165.0,18.85,18.81,-0.04,0.4825295149615691,0.0353
CALL,0.9555099247091033,195.0,36.6,36.1,-0.5,0.4697754894892001,0.0353
CALL,0.9555099247091033,200.0,34.48,33.89,-0.59,0.4682862261478059,0.0353
CALL,0.9555099247091033,210.0,30.37,29.79,-0.58,0.46307921428785465,0.0353
CALL,0.9555099247091033,220.0,26.85,26.1,-0.75,0.4607596564037896,0.0353
CALL,0.9555099247091033,230.0,23.65,22.81,-0.84,0.4580101542772153,0.0353
CALL,0.9555099247091033,240.0,20.47,19.89,-0.58,0.4510920000936305,0.0353
PUT,1.374401095140315,145.0,16.05,16.57,0.52,0.4903256396649668,0.0353
PUT,1.374401095140315,150.0,17.96,18.25,0.29,0.4905872556252305,0.0353
PUT,1.374401095140315,155.0,20.9,20.04,-0.86,0.5043665263220575,0.0353
PUT,1.374401095140315,160.0,21.55,21.92,0.37,0.4832791562074178,0.0353
PUT,1.374401095140315,165.0,23.9,23.89,-0.01,0.48546739432627545,0.0353
CALL,1.374401095140315,195.0,44.86,44.42,-0.44,0.4744270956294089,0.0353
CALL,1.374401095140315,200.0,42.04,42.28,0.24,0.46416182583768467,0.0353
CALL,1.374401095140315,210.0,38.89,38.26,-0.63,0.4697756360541576,0.0353
CALL,1.374401095140315,220.0,34.1,34.57,0.47,0.4533907543516105,0.0353
CALL,1.374401095140315,230.0,31.3,31.2,-0.1,0.4561384609099918,0.0353
CALL,1.374401095140315,240.0,28.23,28.13,-0.1,0.45285018601381744,0.0353
PUT,1.626283367556468,145.0,18.91,18.86,-0.05,0.500311581848822,0.0355
PUT,1.626283367556468,150.0,20.8,20.64,-0.16,0.49865915912791076,0.0355
PUT,1.626283367556468,155.0,22.14,22.5,0.36,0.4883777967688654,0.0355
PUT,1.626283367556468,160.0,24.1,24.45,0.35,0.4856835992506487,0.0355
PUT,1.626283367556468,165.0,26.75,26.49,-0.26,0.490688950190526,0.0355
CALL,1.626283367556468,195.0,46.74,48.9,2.16,0.4490580621159953,0.0355
CALL,1.626283367556468,200.0,44.25,46.8,2.55,0.44303192387525675,0.0355
CALL,1.626283367556468,210.0,41.94,42.85,0.91,0.4569511151657479,0.0355
CALL,1.626283367556468,220.0,38.5,39.19,0.69,0.4556512441634376,0.0355
CALL,1.626283367556468,230.0,34.1,35.83,1.73,0.44178998559783506,0.0355
CALL,1.626283367556468,240.0,32.95,32.73,-0.22,0.4586588443642926,0.0355
PUT,1.8754277891854894,145.0,20.47,20.93,0.46,0.49433928774126357,0.0356
PUT,1.8754277891854894,150.0,22.6,22.77,0.17,0.4953312791500061,0.0356
PUT,1.8754277891854894,155.0,25.54,24.7,-0.84,0.5053461679997908,0.0356
PUT,1.8754277891854894,160.0,26.54,26.72,0.18,0.48987824709412375,0.0356
PUT,1.8754277891854894,165.0,29.99,28.81,-1.18,0.5034125403586385,0.0356
CALL,1.8754277891854894,195.0,52.57,53.03,0.46,0.4709824954611031,0.0356
CALL,1.8754277891854894,200.0,51.05,50.98,-0.07,0.47444395404307854,0.0356
CALL,1.8754277891854894,210.0,46.8,47.1,0.3,0.4670589236925229,0.0356
CALL,1.8754277891854894,220.0,44.05,43.49,-0.56,0.47205108660939277,0.0356
CALL,1.8754277891854894,230.0,39.3,40.14,0.84,0.45536950417324473,0.0356
CALL,1.8754277891854894,240.0,37.51,37.03,-0.48,0.4650409469307041,0.0356
PUT,1.9712525667351128,145.0,21.4,21.67,0.27,0.49733274532071586,0.0356
PUT,1.9712525667351128,150.0,22.88,23.54,0.66,0.4895521025277848,0.0356
PUT,1.9712525667351128,155.0,26.34,25.5,-0.84,0.5057577318713468,0.0356
PUT,1.9712525667351128,160.0,28.85,27.53,-1.32,0.5084816560394726,0.0356
PUT,1.9712525667351128,165.0,29.75,29.64,-0.11,0.491397436493591,0.0356
CALL,1.9712525667351128,195.0,54.81,54.55,-0.26,0.4794697368822667,0.0356
CALL,1.9712525667351128,200.0,53.33,52.52,-0.81,0.4829953311093935,0.0356
CALL,1.9712525667351128,210.0,48.8,48.66,-0.14,0.47258533380848,0.0356
CALL,1.9712525667351128,220.0,45.75,45.07,-0.68,0.47436611160602193,0.0356
CALL,1.9712525667351128,230.0,42.6,41.73,-0.87,0.47296845673852583,0.0356
CALL,1.9712525667351128,240.0,38.5,38.63,0.13,0.46073771374426203,0.0356
