Type,T,K,Mkt,Ana,Err_A,IV_Mkt
PUT,0.5530458590006845,5250.0,53.349999999999994,50.21,-3.14,0.297922736152363
CALL,0.5530458590006845,7900.0,38.2,39.52,1.32,0.12291937575658567
CALL,0.5530458590006845,8300.0,10.55,11.11,0.56,0.12073119228542163
CALL,0.5530458590006845,8500.0,5.6,6.14,0.54,0.12153107203292121
CALL,0.5530458590006845,8600.0,4.2,4.61,0.41,0.12261278784045902
PUT,0.6297056810403833,5250.0,62.150000000000006,60.07,-2.08,0.2923291839359044
PUT,0.6297056810403833,5275.0,63.5,61.69,-1.81,0.29042008301491457
PUT,0.6297056810403833,5300.0,65.0,63.35,-1.65,0.2886591367285526
CALL,0.6297056810403833,8100.0,28.95,29.5,0.55,0.1222870389644022
CALL,0.6297056810403833,8200.0,21.75,21.91,0.16,0.12195656576994233
CALL,0.6297056810403833,8400.0,11.9,12.3,0.4,0.12135939423945533
CALL,0.6297056810403833,8500.0,9.0,9.31,0.31,0.12187585604849303
PUT,0.6625598904859685,6330.0,179.95,183.64,3.69,0.21904156319930787
CALL,0.6625598904859685,7160.0,337.05,349.77,12.72,0.16058534581870348
CALL,0.6625598904859685,7245.0,290.75,301.36,10.61,0.15592639036817763
CALL,0.6625598904859685,7305.0,260.29999999999995,269.18,8.88,0.15279472867145685
CALL,0.6625598904859685,8400.0,14.350000000000001,14.37,0.02,0.12210378992989036
CALL,0.6625598904859685,8600.0,8.05,8.37,0.32,0.12221846176999214
PUT,0.7063655030800822,5250.0,71.35,69.7,-1.65,0.28828804754258647
PUT,0.7063655030800822,5300.0,74.6,73.26,-1.34,0.28490936844190334
PUT,0.7063655030800822,5400.0,81.55000000000001,80.86,-0.69,0.27819851892571895
CALL,0.7063655030800822,8100.0,40.8,40.12,-0.68,0.12500963207502064
CALL,0.7063655030800822,8300.0,23.35,22.92,-0.43,0.12304624466245742
CALL,0.7063655030800822,8500.0,13.649999999999999,13.36,-0.29,0.12291029578925736
CALL,0.7063655030800822,8600.0,10.4,10.29,-0.11,0.12301579279640873
PUT,0.8021902806297057,5250.0,82.65,81.38,-1.27,0.2841006720354231
PUT,0.8021902806297057,5275.0,84.35,83.31,-1.04,0.28242333648749957
PUT,0.8021902806297057,5350.0,90.1,89.32,-0.78,0.2778188103095577
CALL,0.8021902806297057,8100.0,57.3,55.99,-1.31,0.12785020806364206
CALL,0.8021902806297057,8400.0,27.200000000000003,25.58,-1.62,0.12493830883341443
CALL,0.8021902806297057,8500.0,21.4,19.83,-1.57,0.12482842863949868
CALL,0.8021902806297057,8600.0,16.65,15.45,-1.2,0.12460348700259515
PUT,0.8788501026694046,5400.0,103.05000000000001,103.34,0.29,0.2717023623271658
CALL,0.8788501026694046,8500.0,28.450000000000003,26.28,-2.17,0.12589784080452698
CALL,0.8788501026694046,8600.0,22.55,20.64,-1.91,0.125581228915337
PUT,0.9144421629021219,5350.0,102.2,103.22,1.02,0.27287850204885433
CALL,0.9144421629021219,8040.0,88.3,89.94,1.64,0.1311574267075042
CALL,0.9144421629021219,8095.0,78.3,78.97,0.67,0.13014412391267224
CALL,0.9144421629021219,8150.0,69.45,69.23,-0.22,0.12931284444869914
CALL,0.9144421629021219,8400.0,39.7,37.77,-1.93,0.1266238251588069
CALL,0.9144421629021219,8500.0,31.65,29.69,-1.96,0.12601651614998588
CALL,0.9144421629021219,8600.0,25.15,23.41,-1.74,0.12554594409368358
PUT,0.9555099247091033,5350.0,106.30000000000001,108.16,1.86,0.2711381121562823
PUT,0.9555099247091033,5550.0,125.7,128.0,2.3,0.2601591387605888
PUT,0.9555099247091033,5750.0,148.5,150.95,2.45,0.2494048275749556
CALL,0.9555099247091033,8300.0,56.2,54.44,-1.76,0.12852641355845482
CALL,0.9555099247091033,8600.0,29.0,26.89,-2.11,0.1262225407609868
PUT,1.051334702258727,5475.0,129.4,132.16,2.76,0.2618868568821713
CALL,1.051334702258727,8100.0,105.44999999999999,109.22,3.77,0.13317679825779685
CALL,1.051334702258727,8150.0,95.6,98.21,2.61,0.13225283330865265
CALL,1.051334702258727,8600.0,38.05,36.31,-1.74,0.1269987110195285
PUT,1.1279945242984257,5300.0,120.4,123.15,2.75,0.26924317649227425
PUT,1.1279945242984257,5800.0,179.4,181.58,2.18,0.24470650831669868
CALL,1.1279945242984257,8300.0,84.0,85.47,1.47,0.1314311736727956
CALL,1.1279945242984257,8400.0,69.05000000000001,69.25,0.2,0.12997964238434356
CALL,1.1279945242984257,8500.0,56.95,55.97,-0.98,0.12901019289989615
CALL,1.1279945242984257,8600.0,46.650000000000006,45.2,-1.45,0.12806975807923907
PUT,1.374401095140315,6075.0,254.3,258.43,4.13,0.22935964871409784
CALL,1.374401095140315,7225.0,567.1,591.58,24.48,0.17230489479902383
CALL,1.374401095140315,8150.0,166.35,180.37,14.02,0.13899527270815248
CALL,1.374401095140315,8700.0,66.1,67.97,1.87,0.13010620782407034
PUT,1.8754277891854894,5250.0,187.3,189.84,2.54,0.2616581765505599
PUT,1.8754277891854894,5300.0,193.7,196.24,2.54,0.2596884031543655
CALL,1.8754277891854894,8300.0,244.35000000000002,273.04,28.69,0.14562487472134106
CALL,1.8754277891854894,8700.0,144.9,163.28,18.38,0.13757656194134013
