Type,T,K,Mkt,Ana,Err_A,IV_Mkt,r_used
PUT,0.5530458590006845,5300.0,57.4,55.67,-1.73,0.29375943926024295,0.0362
PUT,0.5530458590006845,5350.0,60.2,58.79,-1.41,0.28994782945839165,0.0362
PUT,0.5530458590006845,5400.0,63.0,62.07,-0.93,0.28597673024606163,0.0362
CALL,0.5530458590006845,8000.0,27.0,28.14,1.14,0.12290550690006719,0.0362
CALL,0.5530458590006845,8200.0,14.4,15.11,0.71,0.12224794179704815,0.0362
CALL,0.5530458590006845,8300.0,10.5,11.18,0.68,0.1223270825686733,0.0362
CALL,0.5530458590006845,8400.0,7.7,8.34,0.64,0.12272038112046024,0.0362
CALL,0.5530458590006845,8500.0,5.8,6.27,0.47,0.12375508322237082,0.0362
CALL,0.5530458590006845,8600.0,4.4,4.74,0.34,0.12494142871372751,0.0362
PUT,0.6297056810403833,5250.0,63.9,62.28,-1.62,0.29190256270323317,0.036
PUT,0.6297056810403833,5300.0,66.8,65.58,-1.22,0.2881842660253921,0.036
PUT,0.6297056810403833,5350.0,70.0,69.03,-0.97,0.284669573553468,0.036
PUT,0.6297056810403833,5400.0,73.3,72.64,-0.66,0.28111030292983474,0.036
CALL,0.6297056810403833,7950.0,44.3,45.56,1.26,0.1258708342706367,0.036
CALL,0.6297056810403833,8000.0,38.2,39.27,1.07,0.12506436105629323,0.036
CALL,0.6297056810403833,8300.0,15.9,16.34,0.44,0.12320628552239399,0.036
CALL,0.6297056810403833,8400.0,11.9,12.34,0.44,0.12324710733168846,0.036
CALL,0.6297056810403833,8500.0,9.0,9.37,0.37,0.1236814690777031,0.036
PUT,0.6625598904859685,6330.0,180.3,187.62,7.32,0.21544297595110665,0.0359
CALL,0.6625598904859685,7160.0,337.5,337.73,0.23,0.16554522327539065,0.0359
CALL,0.6625598904859685,7245.0,291.2,290.57,-0.63,0.16058798772701308,0.0359
CALL,0.6625598904859685,7305.0,260.7,259.35,-1.35,0.1572342004692812,0.0359
CALL,0.6625598904859685,8300.0,18.7,18.95,0.25,0.12381340046456055,0.0359
CALL,0.6625598904859685,8400.0,14.2,14.37,0.17,0.1238596471741803,0.0359
CALL,0.6625598904859685,8600.0,8.2,8.41,0.21,0.12443723996729866,0.0359
PUT,0.7063655030800822,5250.0,73.2,71.65,-1.55,0.2874243889805295,0.0358
PUT,0.7063655030800822,5300.0,76.7,75.25,-1.45,0.2842052184850241,0.0358
PUT,0.7063655030800822,5350.0,80.1,79.0,-1.1,0.2807328168229362,0.0358
