T,K,Mkt,Ana,Err_A,MC,Err_MC,IV_Mkt,IV_MC
0.46269678302532513,115.0,80.575,80.13,-0.45,80.38,-0.19,0.5352127008756631,0.5204671672763287
0.46269678302532513,125.0,71.55,71.15,-0.4,71.61,0.06,0.5114338631513561,0.5147100424692939
0.46269678302532513,145.0,54.55,54.37,-0.18,54.6,0.05,0.47478357147686073,0.4766904512059832
0.46269678302532513,165.0,40.375,39.73,-0.65,40.01,-0.36,0.46871849615372096,0.4597888119536935
0.46269678302532513,180.0,30.675,30.48,-0.2,30.47,-0.21,0.4477731242648468,0.4433737271098964
0.46269678302532513,200.0,20.725,20.64,-0.09,20.68,-0.05,0.43627875860145016,0.43536245253915656
0.46269678302532513,220.0,13.45,13.51,0.06,13.58,0.13,0.42784806219525784,0.4303643954882848
0.46269678302532513,240.0,8.55,8.65,0.1,8.71,0.16,0.42427308692364496,0.42793440196279564
0.46269678302532513,260.0,5.4,5.47,0.07,5.6,0.2,0.42419777968840705,0.42960567547223244
0.46269678302532513,270.0,4.3,4.35,0.05,4.48,0.18,0.4252193803322991,0.43079074694449876
0.46269678302532513,290.0,2.725,2.75,0.02,2.82,0.09,0.4276695181979474,0.43142907655837365
0.5585215605749486,125.0,72.875,72.45,-0.42,72.69,-0.18,0.5075824728337168,0.499111490361914
0.5585215605749486,145.0,56.45,56.24,-0.21,56.52,0.07,0.476150984392189,0.47822979649301206
0.5585215605749486,165.0,42.1,42.12,0.02,42.47,0.37,0.4550665336177872,0.4631321627918066
0.5585215605749486,180.0,33.125,33.15,0.02,33.43,0.3,0.44669259114488163,0.4524689714694367
0.5585215605749486,200.0,23.299999999999997,23.44,0.14,23.57,0.27,0.4363007316999682,0.44100893722809204
0.5585215605749486,220.0,16.0,16.18,0.18,16.23,0.23,0.43030762199266626,0.4344486406619023
0.5585215605749486,230.0,13.175,13.35,0.17,13.52,0.34,0.4285342507605382,0.43490451319142437
0.5585215605749486,250.0,8.850000000000001,9.01,0.16,9.07,0.22,0.42646401132719775,0.43108923566033586
0.5585215605749486,270.0,5.975,6.06,0.09,6.11,0.13,0.4276926533875021,0.4309608990754742
0.5585215605749486,290.0,4.05,4.08,0.03,4.16,0.11,0.43006386915721806,0.4334211768956776
0.6351813826146475,125.0,73.82499999999999,73.5,-0.32,73.87,0.04,0.5009065982363715,0.5026509296725084
0.6351813826146475,145.0,58.05,57.69,-0.36,58.06,0.01,0.48050151764043714,0.48084078797614976
0.6351813826146475,165.0,44.025,43.94,-0.08,44.12,0.1,0.45930868773510464,0.46128923378499287
0.6351813826146475,180.0,35.4,35.16,-0.24,35.33,-0.07,0.45407952339466795,0.4528239914007385
0.6351813826146475,200.0,25.75,25.56,-0.19,25.77,0.02,0.44509697559778916,0.4454776310301874
0.6351813826146475,210.0,21.725,21.62,-0.1,21.87,0.14,0.44068447898509144,0.44302748488346416
0.6351813826146475,230.0,15.375,15.3,-0.07,15.31,-0.07,0.43619508511376043,0.43505992512146935
0.6351813826146475,250.0,10.825,10.72,-0.1,10.88,0.05,0.43474846672532536,0.4357713961662469
0.6351813826146475,270.0,7.6,7.49,-0.11,7.71,0.11,0.4347202061311731,0.43711570623829676
0.6351813826146475,290.0,5.375,5.24,-0.14,5.32,-0.06,0.43651338020264985,0.43500272295751624
0.8076659822039699,140.0,64.8,64.42,-0.38,64.66,-0.14,0.4858560157101989,0.48252577039213573
0.8076659822039699,155.0,54.2,54.05,-0.15,54.29,0.09,0.47010697029932796,0.47196468987654316
0.8076659822039699,170.0,45.075,44.84,-0.23,45.16,0.08,0.4634059025267684,0.464835924022091
0.8076659822039699,180.0,39.65,39.37,-0.28,39.63,-0.02,0.4596020560417643,0.4593352566023961
0.8076659822039699,200.0,30.275,29.98,-0.29,30.51,0.24,0.4523882987448764,0.45590939730423424
0.8076659822039699,220.0,22.775,22.56,-0.21,22.74,-0.04,0.4463035939875805,0.44573486991674816
0.8076659822039699,240.0,17.075,16.84,-0.23,16.87,-0.2,0.44353814111113704,0.4404761146726771
0.8076659822039699,260.0,12.75,12.53,-0.22,12.67,-0.08,0.4419314883952894,0.440628657214759
0.8076659822039699,280.0,9.600000000000001,9.31,-0.29,9.6,0.0,0.4428583760023254,0.4429304651421795
0.8843258042436687,124.0,77.92500000000001,77.67,-0.25,77.76,-0.16,0.49647304650603563,0.49149073362520473
0.8843258042436687,144.0,63.2,62.88,-0.32,63.24,0.04,0.48189146621149964,0.48279657001118614
0.8843258042436687,154.0,56.375,56.18,-0.19,56.32,-0.06,0.4728153577645399,0.47172000964731864
0.8843258042436687,172.0,45.5,45.39,-0.11,45.92,0.42,0.4622161334535201,0.4689547788947456
0.8843258042436687,192.0,35.325,35.31,-0.01,35.63,0.3,0.4531227536527011,0.45751776099470043
0.8843258042436687,210.0,27.875,27.89,0.02,28.27,0.39,0.44767942428928387,0.4531609941468853
