Type,T,K,Mkt,Ana,Err_A,MC,Err_MC,IV_Mkt,r_used
PUT,0.5530458590006845,170.0,14.0,13.99,-0.01,14.0,0.0,0.4609197841041982,0.0362
PUT,0.5530458590006845,175.0,15.899999999999999,15.98,0.08,15.98,0.08,0.4571651503215258,0.0362
PUT,0.5530458590006845,180.0,17.95,18.13,0.18,18.12,0.17,0.453466463249017,0.0362
PUT,0.5530458590006845,185.0,20.175,20.44,0.27,20.41,0.24,0.4502742372092938,0.0362
PUT,0.5530458590006845,190.0,22.575,22.9,0.33,22.86,0.29,0.4475589975010987,0.0362
CALL,0.5530458590006845,195.0,25.549999999999997,25.49,-0.06,25.43,-0.12,0.45297406488934466,0.0362
CALL,0.5530458590006845,200.0,23.3,23.35,0.05,23.28,-0.02,0.44942240681446877,0.0362
CALL,0.5530458590006845,210.0,19.35,19.49,0.14,19.4,0.05,0.44471063780057524,0.0362
CALL,0.5530458590006845,220.0,15.975000000000001,16.17,0.19,16.05,0.08,0.44088190522084064,0.0362
CALL,0.5530458590006845,230.0,13.149999999999999,13.33,0.18,13.2,0.05,0.4383162918695817,0.0362
PUT,0.6297056810403833,165.0,13.8,13.54,-0.26,13.55,-0.25,0.47054060766477307,0.036
PUT,0.6297056810403833,170.0,15.600000000000001,15.44,-0.16,15.43,-0.17,0.46657849296124393,0.036
PUT,0.6297056810403833,180.0,19.675,19.67,-0.0,19.64,-0.03,0.4599565356225198,0.036
PUT,0.6297056810403833,185.0,21.925,22.01,0.09,21.96,0.04,0.45677078467490856,0.036
PUT,0.6297056810403833,190.0,24.375,24.49,0.12,24.43,0.05,0.4546753126270649,0.036
CALL,0.6297056810403833,195.0,27.875,27.59,-0.29,27.51,-0.36,0.45989302765286144,0.036
CALL,0.6297056810403833,200.0,25.675,25.46,-0.22,25.37,-0.31,0.4571743156217253,0.036
CALL,0.6297056810403833,210.0,21.725,21.59,-0.13,21.47,-0.25,0.4528958967226261,0.036
CALL,0.6297056810403833,220.0,18.275,18.22,-0.06,18.08,-0.2,0.448918823856065,0.036
CALL,0.6297056810403833,230.0,15.375,15.3,-0.08,15.14,-0.24,0.4467255747894735,0.036
PUT,0.8021902806297057,170.0,18.625,18.4,-0.22,18.36,-0.26,0.4724257147904788,0.0356
PUT,0.8021902806297057,175.0,20.700000000000003,20.54,-0.16,20.48,-0.22,0.46970845613596435,0.0356
PUT,0.8021902806297057,180.0,22.9,22.8,-0.1,22.73,-0.17,0.4670639674962413,0.0356
PUT,0.8021902806297057,185.0,25.225,25.2,-0.03,25.1,-0.12,0.46450583951222807,0.0356
PUT,0.8021902806297057,190.0,27.700000000000003,27.71,0.01,27.6,-0.1,0.46243508354529367,0.0356
CALL,0.8021902806297057,195.0,32.45,31.94,-0.51,31.82,-0.63,0.4688283542742693,0.0356
CALL,0.8021902806297057,200.0,30.299999999999997,29.84,-0.46,29.7,-0.6,0.46668976025018866,0.0356
CALL,0.8021902806297057,210.0,26.35,25.98,-0.37,25.81,-0.54,0.4627735271460689,0.0356
CALL,0.8021902806297057,220.0,22.85,22.54,-0.31,22.35,-0.5,0.45939435421365116,0.0356
CALL,0.8021902806297057,230.0,19.799999999999997,19.5,-0.3,19.29,-0.51,0.4569770414802466,0.0356
PUT,0.8788501026694046,160.0,15.8,15.65,-0.15,15.62,-0.18,0.4764687094991783,0.0355
PUT,0.8788501026694046,167.0,18.4,18.37,-0.03,18.32,-0.08,0.47202146983208954,0.0355
PUT,0.8788501026694046,171.0,20.0,20.04,0.04,19.97,-0.03,0.4697053517891255,0.0355
PUT,0.8788501026694046,176.0,22.125,22.23,0.11,22.15,0.03,0.46714998554873105,0.0355
PUT,0.8788501026694046,180.0,23.925,24.08,0.15,23.98,0.06,0.4653659359155338,0.0355
PUT,0.8788501026694046,181.0,24.375,24.55,0.17,24.45,0.08,0.4647438028513857,0.0355
PUT,0.8788501026694046,182.0,24.875,25.03,0.15,24.93,0.05,0.4648120920463132,0.0355
PUT,0.8788501026694046,183.0,25.325,25.51,0.18,25.4,0.08,0.46405165328111986,0.0355
PUT,0.8788501026694046,184.0,25.825,26.0,0.17,25.89,0.06,0.46397663226349484,0.0355
PUT,0.8788501026694046,186.0,26.775,26.98,0.21,26.87,0.1,0.4628696590518048,0.0355
PUT,0.8788501026694046,188.0,27.775,27.99,0.22,27.87,0.1,0.4622378664336367,0.0355
PUT,0.8788501026694046,189.0,28.275,28.5,0.23,28.38,0.1,0.461821547722134,0.0355
CALL,0.8788501026694046,194.0,34.425,34.17,-0.25,34.03,-0.39,0.4674455937402029,0.0355
CALL,0.8788501026694046,212.0,27.125,27.08,-0.05,26.88,-0.24,0.46000587996704667,0.0355
CALL,0.8788501026694046,219.0,24.675,24.67,-0.0,24.47,-0.21,0.4576782508224938,0.0355
CALL,0.8788501026694046,221.0,24.025,24.02,-0.0,23.81,-0.21,0.4572392460660062,0.0355
CALL,0.8788501026694046,223.0,23.375,23.39,0.01,23.17,-0.2,0.4565951797665204,0.0355
CALL,0.8788501026694046,224.0,23.075,23.07,-0.0,22.86,-0.22,0.45654801465897643,0.0355
CALL,0.8788501026694046,225.0,22.725,22.77,0.04,22.54,-0.18,0.4557482652423093,0.0355
CALL,0.8788501026694046,226.0,22.425,22.46,0.04,22.24,-0.19,0.4556010684705132,0.0355
PUT,0.9555099247091033,160.0,16.825,16.73,-0.1,16.68,-0.14,0.47712692799594153,0.0353
PUT,0.9555099247091033,175.0,22.799999999999997,22.97,0.17,22.87,0.07,0.46846805537320296,0.0353
PUT,0.9555099247091033,180.0,25.075,25.28,0.21,25.17,0.1,0.4665416017285984,0.0353
PUT,0.9555099247091033,185.0,27.475,27.71,0.24,27.58,0.11,0.46482347754874614,0.0353
PUT,0.9555099247091033,190.0,29.950000000000003,30.26,0.31,30.11,0.16,0.46262600962271305,0.0353
CALL,0.9555099247091033,195.0,35.75,35.47,-0.28,35.31,-0.44,0.46956741590307355,0.0353
CALL,0.9555099247091033,200.0,33.6,33.39,-0.21,33.22,-0.38,0.4672601965903334,0.0353
CALL,0.9555099247091033,210.0,29.65,29.55,-0.1,29.34,-0.31,0.4634163803379857,0.0353
CALL,0.9555099247091033,220.0,26.125,26.09,-0.03,25.86,-0.26,0.4602535203790367,0.0353
CALL,0.9555099247091033,230.0,23.0,23.0,-0.0,22.74,-0.26,0.4577568410894124,0.0353
PUT,1.374401095140315,160.0,21.799999999999997,21.82,0.02,21.7,-0.1,0.48202620903255916,0.0353
PUT,1.374401095140315,165.0,23.85,23.94,0.09,23.8,-0.05,0.47984016785680034,0.0353
PUT,1.374401095140315,170.0,25.975,26.16,0.18,26.0,0.03,0.4774389088852893,0.0353
PUT,1.374401095140315,185.0,33.1,33.39,0.29,33.18,0.08,0.4729634554866461,0.0353
PUT,1.374401095140315,190.0,35.725,35.98,0.26,35.75,0.03,0.4723554032044703,0.0353
CALL,1.374401095140315,195.0,44.25,43.99,-0.26,43.74,-0.51,0.4775106526127673,0.0353
CALL,1.374401095140315,200.0,42.175,41.99,-0.18,41.73,-0.44,0.47555823527910784,0.0353
CALL,1.374401095140315,210.0,38.3,38.24,-0.06,37.95,-0.35,0.4721518405322542,0.0353
CALL,1.374401095140315,220.0,34.8,34.81,0.01,34.49,-0.31,0.4696305931371242,0.0353
CALL,1.374401095140315,230.0,31.625,31.66,0.03,31.31,-0.31,0.4676083849253976,0.0353
PUT,1.626283367556468,170.0,28.65,28.86,0.21,28.66,0.01,0.480430339864802,0.0355
PUT,1.626283367556468,175.0,30.950000000000003,31.22,0.27,31.0,0.05,0.47869822576110044,0.0355
PUT,1.626283367556468,180.0,33.4,33.67,0.27,33.44,0.04,0.4777748889086355,0.0355
PUT,1.626283367556468,185.0,35.900000000000006,36.2,0.3,35.95,0.05,0.4764903634419908,0.0355
PUT,1.626283367556468,190.0,38.525000000000006,38.82,0.29,38.55,0.02,0.47572911857230804,0.0355
CALL,1.626283367556468,195.0,48.7,48.5,-0.2,48.22,-0.48,0.48024928818866486,0.0355
CALL,1.626283367556468,200.0,46.7,46.55,-0.15,46.25,-0.45,0.4787824899328188,0.0355
CALL,1.626283367556468,210.0,42.9,42.87,-0.03,42.54,-0.36,0.475751700038957,0.0355
CALL,1.626283367556468,220.0,39.45,39.48,0.03,39.11,-0.34,0.4736008314321448,0.0355
CALL,1.626283367556468,230.0,36.275000000000006,36.34,0.06,35.95,-0.33,0.47168573274038367,0.0355
PUT,1.8754277891854894,165.0,28.950000000000003,28.9,-0.05,28.68,-0.27,0.48690631507573956,0.0356
PUT,1.8754277891854894,170.0,31.25,31.22,-0.03,30.99,-0.26,0.485685251612353,0.0356
PUT,1.8754277891854894,180.0,36.125,36.1,-0.02,35.83,-0.29,0.4837588423268646,0.0356
PUT,1.8754277891854894,185.0,38.650000000000006,38.66,0.01,38.37,-0.28,0.48253767310714346,0.0356
PUT,1.8754277891854894,190.0,41.325,41.29,-0.04,40.98,-0.34,0.4821542419749174,0.0356
CALL,1.8754277891854894,195.0,53.0,52.63,-0.37,52.3,-0.7,0.48481561968607995,0.0356
CALL,1.8754277891854894,200.0,51.075,50.72,-0.35,50.38,-0.69,0.48374553188407143,0.0356
CALL,1.8754277891854894,210.0,47.3,47.11,-0.19,46.74,-0.56,0.48044335980264075,0.0356
CALL,1.8754277891854894,220.0,43.875,43.76,-0.11,43.36,-0.51,0.4782369856405258,0.0356
CALL,1.8754277891854894,230.0,40.724999999999994,40.65,-0.08,40.22,-0.5,0.4764827271186029,0.0356
PUT,1.9712525667351128,165.0,29.700000000000003,29.72,0.02,29.5,-0.2,0.48676102580288405,0.0356
PUT,1.9712525667351128,170.0,32.075,32.06,-0.02,31.81,-0.26,0.48628662418406715,0.0356
PUT,1.9712525667351128,180.0,36.925,36.96,0.04,36.68,-0.24,0.4839310609646625,0.0356
PUT,1.9712525667351128,185.0,39.474999999999994,39.53,0.05,39.23,-0.25,0.4829469823510219,0.0356
PUT,1.9712525667351128,190.0,42.15,42.16,0.01,41.85,-0.3,0.4825404132587596,0.0356
CALL,1.9712525667351128,195.0,54.45,54.13,-0.32,53.8,-0.65,0.4850859805669465,0.0356
CALL,1.9712525667351128,200.0,52.5,52.25,-0.25,51.9,-0.6,0.48363798998944396,0.0356
CALL,1.9712525667351128,210.0,48.775,48.67,-0.11,48.28,-0.49,0.48067037215096775,0.0356
CALL,1.9712525667351128,220.0,45.375,45.33,-0.04,44.92,-0.45,0.47859826726114696,0.0356
CALL,1.9712525667351128,230.0,42.175,42.23,0.05,41.79,-0.38,0.47632308898573034,0.0356
