Type,T,K,Mkt,Ana,Err_A,MC,Err_MC,IV_Mkt,r_used
PUT,0.5530458590006845,6800.0,255.5,257.47,1.97,256.93,1.43,0.1788514975064545,0.0362
PUT,0.5530458590006845,6850.0,269.3,273.32,4.02,273.36,4.06,0.1750320887205145,0.0362
PUT,0.5530458590006845,6900.0,283.9,290.14,6.24,290.77,6.87,0.17118119008216023,0.0362
PUT,0.5530458590006845,6925.0,291.45000000000005,298.94,7.49,299.87,8.42,0.1692101073269687,0.0362
CALL,0.5530458590006845,6950.0,396.15,392.65,-3.5,393.87,-2.28,0.17331556785527785,0.0362
CALL,0.5530458590006845,6975.0,379.65,377.49,-2.16,379.0,-0.65,0.17130536101687066,0.0362
CALL,0.5530458590006845,7000.0,363.85,362.61,-1.24,364.42,0.57,0.16951887050004813,0.0362
CALL,0.5530458590006845,7050.0,332.95,333.75,0.8,336.12,3.17,0.1659099398731666,0.0362
CALL,0.5530458590006845,7100.0,303.2,306.11,2.91,309.02,5.82,0.16233469254816468,0.0362
CALL,0.5530458590006845,7150.0,274.65,279.78,5.13,283.18,8.53,0.1587875112483378,0.0362
PUT,0.6297056810403833,6800.0,277.6,279.15,1.55,278.2,0.6,0.1808896904592747,0.036
PUT,0.6297056810403833,6825.0,284.45000000000005,287.03,2.58,286.37,1.92,0.17908949653948167,0.036
PUT,0.6297056810403833,6900.0,306.15,312.05,5.9,312.24,6.09,0.17367580129435922,0.036
PUT,0.6297056810403833,6925.0,313.85,320.87,7.02,321.34,7.49,0.17189619082603372,0.036
CALL,0.6297056810403833,6950.0,431.75,426.9,-4.85,427.66,-4.09,0.17616817783936364,0.036
CALL,0.6297056810403833,6975.0,415.6,411.78,-3.82,412.82,-2.78,0.17443152238133186,0.036
CALL,0.6297056810403833,7000.0,399.6,396.91,-2.69,398.24,-1.36,0.17266059579786636,0.036
CALL,0.6297056810403833,7025.0,383.7,382.31,-1.39,383.92,0.22,0.17082976781855147,0.036
CALL,0.6297056810403833,7050.0,368.2,367.99,-0.21,369.87,1.67,0.16907422541131312,0.036
CALL,0.6297056810403833,7100.0,338.15,340.18,2.03,342.6,4.45,0.16566060668760638,0.036
PUT,0.6625598904859685,6665.0,247.65,248.8,1.15,246.27,-1.38,0.18878182795552256,0.0359
PUT,0.6625598904859685,6695.0,254.85,257.05,2.2,254.82,-0.03,0.1867144653279629,0.0359
PUT,0.6625598904859685,6720.0,260.70000000000005,264.13,3.43,262.15,1.45,0.18483320701543968,0.0359
PUT,0.6625598904859685,6745.0,267.0,271.4,4.4,269.68,2.68,0.18309064729597926,0.0359
CALL,0.6625598904859685,7020.0,421.15,399.51,-21.64,400.85,-20.3,0.18121427124457182,0.0359
CALL,0.6625598904859685,7045.0,405.5,385.13,-20.37,386.74,-18.76,0.1794404214016257,0.0359
CALL,0.6625598904859685,7160.0,337.05,322.49,-14.56,325.29,-11.76,0.17155536859759116,0.0359
CALL,0.6625598904859685,7165.0,334.2,319.9,-14.3,322.75,-11.45,0.17121774186633873,0.0359
CALL,0.6625598904859685,7245.0,290.75,280.16,-10.59,283.72,-7.03,0.16616254722624216,0.0359
CALL,0.6625598904859685,7305.0,260.29999999999995,252.44,-7.86,256.44,-3.86,0.16254059377490115,0.0359
PUT,0.7063655030800822,6825.0,304.9,307.71,2.81,306.61,1.71,0.180850075106426,0.0358
PUT,0.7063655030800822,6875.0,319.1,324.28,5.18,323.72,4.62,0.17737847148992975,0.0358
PUT,0.7063655030800822,6900.0,326.65,332.88,6.23,332.6,5.95,0.17571812122750338,0.0358
PUT,0.7063655030800822,6925.0,334.25,341.71,7.46,341.71,7.46,0.1739930929316231,0.0358
CALL,0.7063655030800822,6950.0,467.79999999999995,459.86,-7.94,460.14,-7.66,0.1796050165873095,0.0358
CALL,0.7063655030800822,6975.0,451.7,444.78,-6.92,445.33,-6.37,0.17796767026435265,0.0358
CALL,0.7063655030800822,7000.0,435.65,429.94,-5.71,430.77,-4.88,0.17626263818201443,0.0358
CALL,0.7063655030800822,7025.0,421.6,415.35,-6.25,416.45,-5.15,0.17533793222275212,0.0358
CALL,0.7063655030800822,7050.0,404.15,401.0,-3.15,402.38,-1.77,0.17283808431923534,0.0358
CALL,0.7063655030800822,7075.0,388.85,386.92,-1.93,388.56,-0.29,0.17117876976549848,0.0358
PUT,0.8021902806297057,6825.0,330.15,332.24,2.09,330.55,0.4,0.1833646099284071,0.0356
PUT,0.8021902806297057,6875.0,344.54999999999995,348.93,4.38,347.77,3.22,0.18015115874997267,0.0356
PUT,0.8021902806297057,6900.0,352.0,357.58,5.58,356.69,4.69,0.17854114051403422,0.0356
PUT,0.8021902806297057,6925.0,359.6,366.44,6.84,365.81,6.21,0.17691946991154128,0.0356
CALL,0.8021902806297057,6950.0,510.5,499.43,-11.07,499.08,-11.42,0.1832528557440613,0.0356
CALL,0.8021902806297057,6975.0,494.35,484.42,-9.93,484.33,-10.02,0.18167146778080573,0.0356
CALL,0.8021902806297057,7000.0,478.25,469.62,-8.63,469.81,-8.44,0.18003466302005133,0.0356
CALL,0.8021902806297057,7025.0,462.4,455.05,-7.35,455.5,-6.9,0.1784231428115952,0.0356
CALL,0.8021902806297057,7050.0,446.85,440.71,-6.14,441.43,-5.42,0.17685521449953126,0.0356
CALL,0.8021902806297057,7075.0,431.5,426.61,-4.89,427.58,-3.92,0.17528783202790324,0.0356
PUT,0.8788501026694046,6775.0,333.35,334.85,1.5,332.18,-1.17,0.18739814227553453,0.0355
PUT,0.8788501026694046,6875.0,361.85,367.71,5.86,366.06,4.21,0.18135619910634865,0.0355
PUT,0.8788501026694046,6900.0,369.35,376.39,7.04,375.0,5.65,0.17983561990172622,0.0355
PUT,0.8788501026694046,6925.0,377.0,385.27,8.27,384.14,7.14,0.17830794647028386,0.0355
CALL,0.8788501026694046,6950.0,540.4000000000001,529.9,-10.5,529.03,-11.37,0.18473009874277843,0.0355
CALL,0.8788501026694046,6975.0,524.45,514.95,-9.5,514.34,-10.11,0.18328304291180644,0.0355
CALL,0.8788501026694046,7000.0,508.35,500.2,-8.15,499.86,-8.49,0.1817082685803125,0.0355
CALL,0.8788501026694046,7025.0,492.65,485.66,-6.99,485.58,-7.07,0.18022156660387453,0.0355
CALL,0.8788501026694046,7050.0,477.1,471.34,-5.76,471.52,-5.58,0.1787226125269011,0.0355
CALL,0.8788501026694046,7075.0,461.7,457.23,-4.47,457.67,-4.03,0.17720991863911362,0.0355
PUT,0.9144421629021219,6395.0,249.5,241.22,-8.28,235.15,-14.35,0.20914930244295402,0.0354
